COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Palau,PLW,WPRO,REPORTING,9/6/2022,50160,20094,277.25,111.066,18403,101.719,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/3/2021,3,12856,71.059
Panama,PAN,AMRO,REPORTING,10/28/2022,8662543,3511315,200.765,81.379,3157799,73.186,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/2021,2,1743751,40.414
Papua New Guinea,PNG,WPRO,REPORTING,10/23/2022,492326,357694,5.503,3.998,297814,3.329,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/30/2021,4,28516,0.319
Paraguay,PRY,AMRO,REPORTING,10/28/2022,9419313,3967215,132.061,55.621,3518399,49.329,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/22/2021,8,1617513,22.678
Peru,PER,AMRO,REPORTING,10/28/2022,84981554,29908445,257.74,90.709,28280111,85.77,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/9/2021,4,21376479,64.833
Philippines,PHL,WPRO,REPORTING,10/20/2022,167639203,77994168,152.982,71.175,73449131,67.027,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/2021,11,20425579,18.64
Pitcairn Islands,PCN,WPRO,REPORTING,2/28/2022,138,55,276,110,37,74,AstraZeneca - Vaxzevria,5/17/2021,1,23,46
Poland,POL,EURO,REPORTING,10/16/2022,57383999,22901670,151.2,60.334,22625720,59.607,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,12426877,32.738
Portugal,PRT,EURO,REPORTING,10/16/2022,25658974,9760014,249.2,94.891,8873102,86.181,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,8,6946902,67.472
Puerto Rico,PRI,AMRO,REPORTING,10/28/2022,7798061,3117448,272.578,108.969,2748798,96.083,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",,4,1723166,60.233
